YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2015,2015,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.5,34.5,,,29.8,39.6,690,,,Less than high school,,,,"(41.56266102, -72.649840952)",OWS,OWS1,Q036,VALUE,9,Education,Less than high school,EDU,EDUHS
2016,2016,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.6,26.6,,,20.5,33.7,276,,,Less than high school,,,,"(21.304850435, -157.857749403)",OWS,OWS1,Q036,VALUE,15,Education,Less than high school,EDU,EDUHS
2013,2013,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36,36,,,32.9,39.2,"1,844",,,High school graduate,,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Education,High school graduate,EDU,EDUHSGRAD
2014,2014,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,21.1,21.1,,,19.4,22.9,"3,402",,,College graduate,,,,"(40.793730152, -77.860700294)",OWS,OWS1,Q036,VALUE,42,Education,College graduate,EDU,EDUCOGRAD
2020,2020,TN,Tennessee,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,39.5,39.5,,,32.1,47.3,330,,,Less than high school,,,,"(35.68094058000048, -85.77449091399967)",OWS,OWS1,Q036,VALUE,47,Education,Less than high school,EDU,EDUHS
2019,2019,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.6,26.6,,,24.2,29.1,"1,744",,,High school graduate,,,,"(38.843840757000464, -106.13361092099967)",OWS,OWS1,Q036,VALUE,8,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28.8,28.8,,,21.4,37.6,245,,,Less than high school,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Education,Less than high school,EDU,EDUHS
2016,2016,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,23.7,23.7,,,21.2,26.4,"1,705",,,Some college or technical school,,,,"(42.27687047, -72.082690675)",OWS,OWS1,Q036,VALUE,25,Education,Some college or technical school,EDU,EDUCOTEC
2014,2014,IA,Iowa,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25,25,,,22.9,27.1,"2,405",,,College graduate,,,,"(42.469400913, -93.816490556)",OWS,OWS1,Q036,VALUE,19,Education,College graduate,EDU,EDUCOGRAD
2018,2018,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.6,35.6,,,32.5,38.7,"1,334",,,Some college or technical school,,,,"(40.79373015200048, -77.86070029399963)",OWS,OWS1,Q036,VALUE,42,Education,Some college or technical school,EDU,EDUCOTEC
