YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2019,2019,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28.9,28.9,,,23.1,35.6,328,,,,,"Less than $15,000",,"(42.27687047000046, -72.08269067499964)",OWS,OWS1,Q036,VALUE,25,Income,"Less than $15,000",INC,INCLESS15
2016,2016,NV,Nevada,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28.1,28.1,,,21.6,35.8,293,,,,,"Less than $15,000",,"(39.49324039, -117.071840564)",OWS,OWS1,Q036,VALUE,32,Income,"Less than $15,000",INC,INCLESS15
2018,2018,MS,Mississippi,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,37.9,37.9,,,32.9,43.2,573,,,,,"$25,000 - $34,999",,"(32.745510099000455, -89.53803082499968)",OWS,OWS1,Q036,VALUE,28,Income,"$25,000 - $34,999",INC,INC2535
2014,2014,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.6,32.6,,,28.8,36.5,"1,127",,,,,"Less than $15,000",,"(34.520880952, -106.240580985)",OWS,OWS1,Q036,VALUE,35,Income,"Less than $15,000",INC,INCLESS15
2019,2019,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27,27,,,24.1,30.2,"1,182",,,,,"$50,000 - $74,999",,"(38.843840757000464, -106.13361092099967)",OWS,OWS1,Q036,VALUE,8,Income,"$50,000 - $74,999",INC,INC5075
2020,2020,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.9,35.9,,,31.6,40.4,920,,,,,"$35,000 - $49,999",,"(37.54268067400045, -78.45789046299967)",OWS,OWS1,Q036,VALUE,51,Income,"$35,000 - $49,999",INC,INC3550
2013,2013,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.2,26.2,,,24.9,27.6,"5,352",,,,,"$75,000 or greater",,"(38.3477403, -98.200781227)",OWS,OWS1,Q036,VALUE,20,Income,"$75,000 or greater",INC,INC75PLUS
2017,2017,SC,South Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.9,29.9,,,27.4,32.5,"2,339",,,,,"$75,000 or greater",,"(33.998821303, -81.045371207)",OWS,OWS1,Q036,VALUE,45,Income,"$75,000 or greater",INC,INC75PLUS
2014,2014,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28.6,28.6,,,23.7,34.2,683,,,,,"Less than $15,000",,"(47.066528972, -109.424420645)",OWS,OWS1,Q036,VALUE,30,Income,"Less than $15,000",INC,INCLESS15
2014,2014,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.2,24.2,,,22.3,26.2,"4,148",,,,,"$75,000 or greater",,"(40.130570048, -74.273691288)",OWS,OWS1,Q036,VALUE,34,Income,"$75,000 or greater",INC,INC75PLUS
